Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target
2012-07-17,18.33598971,18.35730489,18.10663555,18.22041321,293624800,0.00004952,0.01333529,-0.00208988,0.01009883,0.47529175,70.80232611,0.26139331,0.23424620,0.02714711,19.49781332,-0.81603620,0.02224243,0
2012-07-18,18.20989960,18.26243479,18.11893778,18.19999313,252700000,-0.00112135,0.00212969,0.00302331,0.00960544,0.41428767,69.33768255,0.25519870,0.23843670,0.01676200,19.34771357,-1.15847279,0.02177339,1
2012-07-19,18.35069774,18.47287961,18.19219109,18.44195938,436861600,0.01320725,0.01213541,0.02542119,0.00887781,0.61105751,76.71451057,0.26673927,0.24409721,0.02264206,19.89512700,1.37128362,0.02005597,0
2012-07-20,18.40323389,18.44556282,18.12314657,18.14115906,397471200,-0.01644513,-0.00435923,-0.00110818,0.01021775,0.25663305,62.71951999,0.24874580,0.24502693,0.00371887,19.80063304,0.72301154,0.01751396,0
2012-07-23,17.84395267,18.18918462,17.64311875,18.12704277,487975600,-0.00077844,-0.00401632,-0.00508816,0.00907454,0.20984361,57.88144471,0.23068756,0.24215905,-0.01147150,20.00577596,1.01644160,0.01398035,0
2012-07-24,18.23362073,18.30266779,17.96734218,18.03969193,565132400,-0.00483046,-0.02205403,-0.00996813,0.00876110,0.06852135,51.11411329,0.20694228,0.23511570,-0.02817342,20.15257060,1.55266842,0.01021186,0
2012-07-25,17.24535649,17.43568276,17.11146611,17.26066589,877312800,-0.04414417,-0.04975307,-0.05299095,0.01621218,-0.91296480,28.98178924,0.12383559,0.21285968,-0.08902409,20.59237416,3.81933781,0.00504758,0
2012-07-26,17.40446372,17.42367704,17.12227616,17.25796700,406632800,-0.00015637,-0.04913101,-0.06635458,0.01620423,-0.91963186,30.43409218,0.05709698,0.18170714,-0.12461016,19.82342112,-0.09096742,0.00100719,1
2012-07-27,17.26186675,17.58668462,17.15919801,17.56657028,403936400,0.01772379,-0.02657676,-0.03218566,0.01710211,-0.63524922,32.37209825,0.02877615,0.15112094,-0.12234479,19.81676800,-0.14936917,-0.00363811,1
2012-07-30,17.73948847,17.99525931,17.64642477,17.86287117,379142400,0.01672664,0.03429406,-0.01468058,0.01817703,-0.24886554,42.30868484,0.02989607,0.12687597,-0.09697990,19.75342242,-0.41029337,-0.00653114,1
2012-07-31,18.10902407,18.36329572,18.09371467,18.33507538,462327600,0.02609159,0.06054202,0.01624148,0.02024723,0.41324121,53.24178109,0.06810151,0.11512108,-0.04701957,19.95178429,0.78645658,-0.00740242,0
2012-08-01,18.48968486,18.50439465,18.10212401,18.21650124,384501600,-0.00648807,0.03633016,0.05389758,0.02036948,0.21957861,54.11749608,0.08779956,0.10965677,-0.02185721,19.76745851,-0.58574477,-0.00792124,1
2012-08-02,18.09732166,18.33297808,18.01956901,18.24592018,332158400,0.00161366,0.02121718,0.05566761,0.01986364,0.26957664,51.54994548,0.10457875,0.10864117,-0.00406242,19.62112252,-1.42942341,-0.00882920,1
2012-08-03,18.42124513,18.55183282,18.35910327,18.48338699,344920800,0.01293082,0.00805642,0.05087465,0.01950593,0.58046987,54.53418624,0.13547628,0.11400819,0.02146809,19.65882538,-0.97329645,-0.00774437,1
2012-08-06,18.53111316,18.75866681,18.47017375,18.68902016,302103200,0.01106387,0.02560835,0.04521187,0.01968600,0.81490188,57.52279482,0.17454364,0.12611528,0.04842836,19.52627924,-1.63401769,-0.00535114,0
2012-08-07,18.69562778,18.76257297,18.55363298,18.63979149,290446800,-0.00263757,0.02135712,0.01648271,0.01960046,0.68676788,56.99560873,0.19923580,0.14073938,0.05849641,19.48693098,-1.69541357,-0.00308470,0
2012-08-08,18.59415475,18.72894612,18.52540913,18.60826492,244706000,-0.00169279,0.00673350,0.02127799,0.01082029,0.59143640,52.83512496,0.21379607,0.15535072,0.05844535,19.31556805,-2.25190212,0.00307311,1
2012-08-09,18.62756409,18.74454331,18.62605701,18.71439362,221642400,0.00568711,0.00135675,0.02535144,0.01051325,0.64844297,60.46706500,0.23123338,0.17052725,0.06070613,19.21657583,-2.63451826,0.00905843,1
